REFINE,NE,HMIN,UERRH1,HERRINF,DRMAX
0,100,360000.00,1.175e-01,2.305e-01,167823.512
1,392,165520.54,4.395e-02,2.305e-01,103814.968
2,1304,74001.45,1.754e-02,1.186e-01,64984.662
3,3360,37622.56,1.028e-02,1.186e-01,32663.721
4,7632,18514.27,4.975e-03,9.265e-02,16322.386
5,17504,9009.08,1.996e-03,6.521e-02,8061.364
6,36568,4511.33,1.030e-03,5.299e-02,4222.100
7,77176,2235.31,4.391e-04,3.310e-02,2158.418
8,157600,1084.53,2.208e-04,2.466e-02,1090.881
9,320840,537.45,1.080e-04,2.107e-02,547.158
10,652592,270.15,5.160e-05,1.392e-02,273.748
11,1309696,125.05,2.557e-05,1.002e-02,134.719
12,2625504,64.35,1.289e-05,7.550e-03,68.617
13,5249056,31.79,6.446e-06,5.388e-03,34.370
